status,now_L,now_R,X0,X1,X2,X3,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7
straight,0,0,124,377,229,363,-1,641,-1,641,-1,409,231,246
straight,0,0,124,377,229,364,-1,641,-1,641,-1,409,229,245
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,155,377,229,363,-1,641,-1,641,-1,409,230,244
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,231,244
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,231,244
straight,0,0,129,377,229,364,-1,641,-1,641,-1,411,236,245
straight,0,0,155,377,229,364,-1,641,-1,641,-1,410,232,245
straight,0,0,155,377,229,363,-1,641,-1,641,-1,409,230,245
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,229,481
straight,0,0,129,377,229,364,-1,641,-1,641,-1,409,229,246
straight,0,0,129,377,229,364,-1,641,-1,641,-1,409,231,481
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,231,245
straight,0,0,155,377,229,363,-1,641,-1,641,-1,410,236,246
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,155,377,229,363,-1,641,-1,641,-1,410,231,245
straight,0,0,155,377,229,364,-1,641,-1,641,-1,410,232,244
straight,0,0,155,377,229,364,-1,641,-1,641,-1,408,231,244
straight,0,0,155,377,229,363,-1,641,-1,641,-1,409,231,244
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,232,244
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,230,244
straight,0,0,155,377,229,364,-1,641,-1,641,-1,410,231,246
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,230,246
straight,0,0,129,377,293,364,-1,404,-1,641,-1,412,231,248
straight,0,0,129,377,229,363,-1,641,-1,641,-1,408,231,248
straight,0,0,155,377,229,364,-1,641,-1,641,-1,411,231,244
straight,0,0,129,377,229,364,-1,641,-1,641,-1,410,230,244
straight,0,0,129,377,229,364,-1,641,-1,641,-1,409,237,246
straight,0,0,129,377,229,364,-1,641,-1,641,-1,410,228,245
straight,0,0,125,377,229,364,-1,641,-1,641,-1,409,231,244
straight,0,0,125,377,298,364,-1,641,-1,641,-1,408,231,244
straight,0,0,125,377,229,364,-1,641,-1,641,-1,409,237,246
straight,0,0,124,377,229,364,-1,641,-1,641,-1,411,229,245
straight,0,0,124,377,229,364,-1,641,-1,641,-1,408,232,245
straight,0,0,125,377,229,364,-1,641,-1,641,-1,410,230,244
straight,0,0,125,377,229,364,-1,641,-1,641,-1,410,230,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,232,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,228,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,231,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,231,245
straight,0,0,127,377,229,364,-1,641,-1,641,-1,408,230,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,232,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,228,244
straight,0,0,127,377,229,364,-1,641,-1,641,-1,408,230,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,411,228,481
straight,0,0,127,377,229,364,-1,641,-1,641,-1,410,230,246
straight,0,0,126,377,229,363,-1,641,-1,641,-1,408,233,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,412,232,244
straight,0,0,126,377,229,363,-1,641,-1,641,-1,409,231,245
straight,0,0,127,377,229,364,-1,641,-1,641,-1,410,233,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,230,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,230,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,245
straight,0,0,126,377,229,363,-1,641,-1,641,-1,410,230,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,230,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,230,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,247
straight,0,0,126,377,229,363,-1,641,-1,641,-1,411,230,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,232,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,232,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,229,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,231,257
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,228,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,231,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,245
straight,0,0,126,377,229,363,-1,641,-1,641,-1,409,232,245
straight,0,0,126,377,229,363,-1,641,-1,641,-1,410,230,481
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,231,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,411,231,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,229,246
straight,0,0,126,377,229,363,-1,641,-1,641,-1,410,233,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,230,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,237,246
straight,0,0,126,377,229,363,-1,641,-1,641,-1,408,237,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,232,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,230,245
straight,0,0,126,377,229,364,-1,641,-1,411,-1,409,232,244
straight,0,0,126,377,305,364,-1,641,-1,641,-1,408,231,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,230,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,230,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,232,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,229,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,481
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,231,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,231,246
straight,0,0,126,377,305,364,-1,641,-1,641,-1,409,232,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,232,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,231,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,411,229,244
straight,0,0,126,377,305,364,-1,641,-1,641,-1,409,231,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,232,245
straight,0,0,126,377,298,363,-1,641,-1,641,-1,409,228,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,231,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,230,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,232,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,233,255
straight,0,0,126,377,298,364,-1,641,-1,641,-1,409,229,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,232,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,230,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,228,245
straight,0,0,127,377,229,364,-1,641,-1,641,-1,409,231,481
straight,0,0,126,377,229,363,-1,641,-1,641,-1,408,229,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,232,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,232,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,229,246
straight,0,0,127,377,229,363,-1,641,-1,641,-1,410,228,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,411,229,245
straight,0,0,127,377,229,364,-1,641,-1,641,-1,409,231,244
straight,0,0,127,377,305,364,-1,641,-1,641,-1,408,231,244
straight,0,0,127,377,229,364,-1,641,-1,641,-1,410,230,245
straight,0,0,128,377,229,364,-1,641,-1,641,-1,410,230,246
straight,0,0,128,377,229,364,-1,641,-1,641,-1,410,237,245
straight,0,0,128,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,129,377,229,364,-1,641,-1,641,-1,407,229,244
straight,0,0,128,377,229,364,-1,641,-1,641,-1,408,231,244
